".  The 
ratio 
of 
remuneration 
of 
each 
director 
to 
the  median 
remuneration of the employees of 
the  company 
for 
the 
financial 
year;","Note*  No  such  directors  were  appointed  for 
the financial year","Name","Designation","","Ratio"
"","","Manish Dixit","Managing Director","","12.31:1"
"","","Anamika Ananad","Executive Director","","0"
"","","Keshav 
Das 
Sonakia","Non-Executive 
Director","","0"
"","","Pankaj Kumar","Independent Director","","0"
"","","","","",""
"B.  The 
percentage 
increase 
in 
remuneration  of  each  director, 
Chief 
Financial  Officer, 
Chief 
Executive 
Officer, 
Company 
Secretary  or  Manager,  in  any,  in 
the financial year;","","Name","Designation","","Percentage Increase"
"","","Manish Dixit","Managing Director","","33.34%"
"","","Anamika Ananad","Executive  Director  & 
CFO","","0%"
"","","Keshav 
Das 
Sonakia","Non-Executive 
Director","","0
%"
"","","Pankaj Kumar","Independent Director","","0
%"
"","","Rakesh 
Kumar 
Singh","Independent Director","","0%"
"","","","","","0%"
"","","Megha Vyas","Company Secretary","",""
"","","","","",""
"C.  The  percentage 
increase 
in  the 
median 
remuneration 
of 
employees in the financial years.","20.38%","","","",""
"D.  The 
number 
of 
permanent 
employees  (Other  than  Directors 
and  KMP)  on 
the 
rolls  of 
the 
company","7 as on 31.03.2025","","","",""
"E.  Average 
percentile 
increase 
already  made  in  the  salaries  of 
employees 
other 
than 
the 
managerial  personnel  in  the  last 
financial year and its comparison 
with 
the  percentile 
increase 
in 
the 
managerial 
remuneration 
and 
justification 
thereof 
and 
point 
out 
if 
there 
are 
any 
exceptional 
circumstances 
for 
increase 
in 
the 
managerial 
remuneration;","The average annual increase for the year was approximately 57.43% 
in case of employees other than managerial personnel.","","","",""
"F.  The 
Key 
parameters 
for 
any 
variable 
component 
of 
remuneration 
availed 
by 
the 
directors;","There is no variable component.","","","",""
"G. The  ratio  of  the  remuneration  of 
the  highest  paid  Director  to  that 
of 
the  Employees  who  are  not 
Directors 
but 
receive 
remuneration 
in  excess  of 
the 
highest  paid  Director  during  the 
year.","N.A","","","",""
"H.  We affirm that the remuneration is as per the remuneration policy of the company","","","","",""
