"NIKS TECHNOLOGY LIMITED
(FORMERLY NIKS TECHNOLOGY PRIVATE LIMITED)
CIN: L80904BR2014PLC022439
SEGMENT REPORTING FOR THE PERIOD ENDED 31.03.2025
Annexure to Note J
Amount (Rs. In Lakhs, unless otherwise stated)","","",""
"Sr. 
No.","Particulars","Year to date figures as 
on 31.03.2025","Year to date figures as 
on 31.03.2024"
"","","Audited","Audited"
"1
2
3
4","Segment Revenue
Drone Parts Sale
Drone Spray Services
Others 
Unallocated
Total
Segment Result
Drone Parts Sale
Drone Spray Services
Others 
Unallocated
Total
Profit Before Tax
Segment Assets
Drone Parts 
Drone Spray Services
Others 
Unallocated
Total
Segment Liabilities
Drone Parts
Drone Spray Services
Others 
Unallocated
Total","158.19
                                  
734.81
                                      
7.95
                                      
8.34","424.22
                                  
163.95
                                    
19.91
                                      
2.78"
"","","909.29","610.86"
"","","40.18
                                    
82.83
                                      
7.95
                                  
(66.66)","74.54
                                    
59.28
                                      
9.74
                                  
(82.17)"
"","","64.31","61.39"
"","","",""
"","","64.31
                                    
61.39",""
"","","170.96
                                    
31.47
                                  
440.49","183.34
                                      
3.43
                                    
10.65
                                  
353.83"
"","","642.91","551.24"
"","","-   
                                       
-
                                    
18.10","44.41
                                    
20.51
                                      
3.94
                                    
53.42"
"","","18.10","122.27"
"The Company has reported segment information as per Accounting Standard 17 ""Operating Segments"" (AS 17). The identification of 
operating segments is consistent with performance assessment and resource allocation by the Chief Operating Decision Maker. 
FOR AND ON BEHALF OF THE BOARD OF DIRECTORS
For, Jay Gupta and Associates
NIKS TECHNOLOGY LIMITED
(Erstwhile Gupta Agarwal & Associates)
Chartered Accountants
FRN: 329001E
MANISH DIXIT
 ANAMIKA ANAND
(DIRECTOR) & CFO
(MANAGING DIRECTOR)
Jay Shanker Gupta
DIN: 06888132
DIN: 08229644
(Partner)
Membership No. 059535
UDIN: 25059535BMHBYM2726 
Place : Kolkata
PLACE: PATNA
MEGHA VYAS
Date : 24.05.2025
DATED: 24.05.2025
COMPANY SECRETARY","","",""
