"NIKS TECHNOLOGY LIMITED
(FORMERLY NIKS TECHNOLOGY PRIVATE LIMITED)
NOTES TO AND FORMING PART OF BALANCE SHEET AS AT 31ST MARCH, 2025
Amount (Rs. In Lakhs, unless otherwise stated)","","","","","",""
"PARTICULARS
AS AT
NOTE
AS AT
NO.
 
31.03.2025
31.03.2024","","","","","",""
"1
SHARE CAPITAL:
A.
Authorised 
10,00,000 Equity Shares of Rs.10/- each
(P.Y 10,00,000 Equity Shares of Rs.10/- each)
             
100.00
              
100.00
B.
Issued, Subscribed & Paid up
 5,00,000 Equity Shares of Rs.10/- each
(P.Y 4,25,000 Equity Shares of Rs.10/- each) 
               
50.00
                
42.50
               
50.00
                
42.50
C.
Reconciliation of the number of shares outstanding at the beginning and at the end of the reporting period","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","Particulars","","31ST MARCH, 2025","","31ST MARCH, 2024",""
"","","","Nos","Rs. In Lacs","Nos","Rs. In Lacs"
"","Shares outstanding at the beginning of the year","","4,25,000","42.50","3,63,200","36.32"
"","Shares issued during the year through Preferantial Allotment","","-","-","36,800","3.68"
"","Shares issued during the year upon conversion of Warrant","","75,000","7.50","25,000","2.50"
"","Shares outstanding at the end of the year","","5,00,000","50.00","4,25,000","42.50"
"D. Notes:
a.
Terms/ Rights Attached To Equity Shares 
The Company has only one class of equity share having par value of Rs 10 /- per share . Each holder of Equity share is entitled to one vote 
per share. 
In the event of liquidation of the company, the holder of equity shares will be entitled to receive  remaining assets  of the Company after 
distribution of all preferential amounts . The Distribution will be in proportion to the number of equity share  held by the shareholders.
The company has issued 1,00,000 Fully Convertible Share Warrants of Rs. 300/- each (Face Value- Rs. 10/- each) vide resolution passed at its
b.
meeting of Board of Directors dated 23rd October, 2023, to be converted into equity shares before the expiry of 18 months from the date of its 
allotment. During the year the company received Rs.75.00 lakhs as full amount for 25000 share warrants which were subsequently converted
into 25000 equity share capital of Rs. 10/- each as mentioned below and received Rs. 75.00 lakhs against 75000 share warrants at a price of
Rs. 300/- each, which were pending for conversion as on balance sheet date.
The company has allotted 25,000 equity shares of Rs. 10/- each at a price of Rs. 300/- each vide conversion of 25,000 Fully Convertible Share 
c.
Warrants on January 17, 2024.
During the F.Y. 2023-24 the company also issued 38600 equity shares of Rs. 10/- each at a price of Rs. 300/- each (incl. premium of Rs. 290/-) 
d.
vide Shareholder’s Resolution passed on October 23, 2023 and allotted on November 23, 2023.
The company has allotted 25,000 Equity Shares of Face Value of INR 10/- each pursuant to conversion of 25,000 Fully Convertible Equity 
e.
Warrants out of 1,00,000 Fully Convertible Equity Warrants at an Issue Price of INR 300/- each by passing Board Resolution on 19th July, 
2024.
The company has allotted 50,000 Equity Shares of Face Value of INR 10/- each pursuant to conversion of 50,000 Fully Convertible Equity 
f.
Warrants out of 1,00,000 Fully Convertible Equity Warrants at an Issue Price of INR 300/- each by passing Board Resolution on 10th March, 
2025.
F.
Shares held by promoters at the end of the period
G. Details of shareholders holding more than 5% shares of the Company
As per the records of the Company, including its Register of Members and other declarations received from the shareholders regarding 
beneficial interest, the above shareholders represents  legal ownership of shares.","","","","","",""
"","PROMOTER NAME","31ST MARCH, 2025","","31ST MARCH, 2024","","% Change 
during the 
year"
"","","No. of Shares","% of total 
shares","No. of Shares","% of total 
shares",""
"","MANISH DIXIT","1,92,750","38.55%","1,92,750","45.35%","-6.80%"
"","ANAMIKA ANAND","3,200","0.64%","3,200","0.75%","-0.11%"
"","KESHAV DAS SONAKIYA","35,000","7.00%","35,000","8.24%","-1.24%"
"","NEERAJ KUMAR DANTRE","50","0.01%","50","0.01%","0.00%"
"","PRAVEEN DIXIT","50","0.01%","50","0.01%","0.00%"
"","POOJA SHARMA","50","0.01%","50","0.01%","0.00%"
"","TOTAL","2,31,100","46.22%","2,31,100","54.38%","-8.16%"
"","","","","","",""
"","NAME OF THE SHAREHOLDER
(EQUITY SHARES OF RS 10/- EACH FULLY PAID UP)","31ST MARCH, 2025","","31ST MARCH, 2024","","% Change 
during the 
year"
"","","Nos 
%","","Nos 
%","",""
"","MANISH DIXIT","1,92,750","","38.55%           1,92,750 
45.35%","","-6.80%"
"","KESHAV DAS SONAKIYA","35,000","","7.00%              35,000 
8.24%","","-1.24%"
"","","","","","",""
