"NIKS TECHNOLOGY LIMITED
(FORMERLY NIKS TECHNOLOGY PRIVATE LIMITED)
NOTES TO AND FORMING PART OF BALANCE SHEET AS AT 31ST MARCH, 2024
SCHEDULE-7
DEPRECIATION AS PER COMPANIES ACT, 2013
PROPERTY, PLANT & EQUIPMENT AND INTANGIBLE ASSETS
Amount (Rs. In Lakhs, unless otherwise stated)","","","","","","","","","",""
"PARTICULARS","GROSS BLOCK","","","","DEPRECIATION","","","","NET BLOCK",""
"","OPENING 
BALANCE","ADDITION 
DURING THIS 
YEAR","DELETION 
DURING THIS 
YEAR","CLOSING 
BALANCE","OPENING 
BALANCE","FOR THE YEAR","ADDITION/ 
DELETION 
DURING THIS 
YEAR","CLOSING 
BALANCE","AS ON 
31.03.2025","AS ON 
01.04.2024"
"","AS ON 
01.04.2024","","","AS ON 
31.03.2025","AS ON 
01.04.2024","","","AS ON 
31.03.2025","",""
"TANGIBLE ASSETS","","","","","","","","","",""
"ELECTRICAL FITTINGS","6.25","-","-","6.25","5.01","0.32","-","5.33","0.92","1.24"
"COMPUTER","33.27","6.26","-","39.53","27.31","6.43","-","33.75","5.78","5.96"
"PRINTER-HP","0.11","-","-","0.11","0.10","0.00","-","0.10","0.01","0.02"
"FURNITURE & FIXTURE","9.60","-","","9.60","6.51","0.74","-","7.26","2.34","3.09"
"LED-TV","0.53","-","-","0.53","0.45","0.03","-","0.48","0.06","0.09"
"AIR CONDITIONER","2.39","-","-","2.39","0.94","0.26","","1.20","1.19","1.45"
"SOFTWARES","18.95","-","-","18.95","17.05","-","-","17.05","1.91","1.91"
"INVERTER BATTERY","0.74","-","","0.74","0.31","0.08","-","0.39","0.35","0.43"
"MOBILE","1.55","-","","1.55","1.21","0.16","-","1.37","0.18","0.34"
"SOFTWARES (TEST CHECK)","-","55.84","-","55.84","-","-","-","-","55.84","-"
"TOTAL THIS YEAR","73.40","62.09","-","135.49","58.89","8.03","-","66.93","68.56","14.50"
"","","","","","","","","","",""
"Rs. In Lakhs, unless otherwise stated)","","","","","","","","","",""
"PARTICULARS","GROSS BLOCK","","","","DEPRECIATION","","","","NET BLOCK",""
"","OPENING 
BALANCE","ADDITION 
DURING THIS 
YEAR","DELETION 
DURING THIS 
YEAR","CLOSING 
BALANCE","OPENING 
BALANCE","FOR THE YEAR","ADDITION/ 
DELETION 
DURING THIS 
YEAR","CLOSING 
BALANCE","AS ON 
31.03.2024","AS ON 
31.03.2024"
"","AS ON 
01.04.2023","","","AS ON 
31.03.2024","AS ON 
01.04.2023","","","AS ON 
31.03.2024","",""
"TANGIBLE ASSETS","","","","","","","","","",""
"ELECTRICAL FITTINGS","5.94","0.30","-","6.25","4.61","0.39","-","5.01","1.24","1.33"
"COMPUTER","31.76","1.51","-","33.27","16.44","10.88","-","27.31","5.96","15.33"
"PRINTER-HP","0.11","","-","0.11","0.09","0.01","-","0.10","0.02","0.02"
"FURNITURE & FIXTURE","9.60","","","9.60","5.51","1.01","-","6.51","3.09","4.09"
"LED-TV","0.53","","-","0.53","0.39","0.05","-","0.45","0.09","0.14"
"AIR CONDITIONER","2.13","0.26","-","2.39","0.64","0.30","","0.94","1.45","1.49"
"SOFTWARES","18.95","-","-","18.95","15.53","1.52","-","17.05","1.91","3.42"
"INVERTER BATTERY","0.72","0.02","","0.74","0.21","0.10","-","0.31","0.43","0.51"
"MOBILE","1.49","0.06","","1.55","0.92","0.29","-","1.21","0.34","0.56"
"SOFTWARES (TEST CHECK)","55.84","-","-","55.84","-","-","-","-","55.84","55.84"
"TOTAL THIS YEAR","127.08","2.15","-","129.23","44.34","14.55","-","58.89","70.34","82.74"
"","","","","","","","","","",""
