"NIKS TECHNOLOGY LIMITED
(FORMERLY NIKS TECHNOLOGY PRIVATE LIMITED)
CIN: L80904BR2014PLC022439
NOTES FORMING PART OF FINANCIAL STATEMENTS
Note: 25
Restated Statement of Accounting Ratio","","","",""
"Amount (Rs. In Lakhs, unless otherwise stated)","","","",""
"Particulars","NOTES","As at 31.03.2025","As at 31.03.2024 
 % of Variance",""
"","","","",""
"Current Assets","[A]","574.34","478.71",""
"Current Liabilities","[B]","18.10","122.27",""
"Current Ratio (in times)","[A / B]","31.73","3.92
710.42%",""
"","","","",""
"Debt","[A]","-","16.48",""
"Equity","[B]","624.03","428.97",""
"Debt - Equity Ratio (in times)","[A / B]","-","0.04
-100.00%",""
"","","","",""
"Earnings available for debt service","[A]","73.09","78.84",""
"Debt Service","[B]","0.74","2.90",""
"Debt - Service Coverage Ratio (in times)","[A / B]","98.77","27.21
262.99%",""
"","","","",""
"Net Profit after Taxes","[A]","45.05","44.50",""
"Shareholder's Equity","[B]","624.03","428.97",""
"Return on Equity Ratio (in %)","[A / B]","7.22%","10.37%
-30.40%",""
"","","","",""
"Cost of Goods Sold","[A]","769.98","464.52",""
"Average Inventory","[B]","3.99","23.56",""
"Inventory Turnover Ratio (in times)","[A / B]","193.21","19.72
879.97%",""
"","","","",""
"Net Sales","[A]","900.95","610.86",""
"Average Trade Receivables","[B]","191.63","137.34",""
"Trade Receivables Turnover Ratio (in times)","[A / B]","4.70","4.45
5.70%",""
"","","","",""
"Net Credit Purchase","[A]","110.04","328.67",""
"Average Trade Payables","[B]","37.15","37.15",""
"Trade Payables Turnover Ratio (in times)","[A / B]","2.96","8.85
-66.52%",""
"","","","",""
"Net Sales","[A]","900.95","610.86",""
"Current Assets","","574.34","478.71",""
"Current Liabilities","","18.10","122.27",""
"Average Working Capital","[B]","456.34","198.93",""
"Net Working Capital Turnover Ratio (in times)","[A / B]","1.97","3.07","-35.71%"
"","","","",""
"Net Profit","[A]","45.05","44.50",""
"Net Sales","[B]","900.95","610.86",""
"Net Profit Ratio (in %)","[A / B]","5.00%","7.28%
-31.35%",""
"","","","",""
"Earning Before Interest and Taxes","[A]","65.05","64.28",""
"Capital Employed","[B]","624.03","428.97",""
"Return on Capital Employed (in %)","[A / B]","10.42%","14.99%
-30.43%",""
"","","","",""
"Market Value at the end of the year- Market Value at the 
beginning of the year","[A]","12.25","216.40",""
"Market Value at the beginning of the year","[B]","477.40","261.00",""
"Return on Investment (in %)","[A / B]","2.57%","82.91%
-96.91%",""
"","","","",""
