"Manufacturing Sector",""
"Enterprises","Investment in plant and machinery"
"Micro Enterprises","Does not exceed twenty-five lakh rupees"
"Small Enterprises","More than twenty-five lakh rupees but does not exceed five crore rupees"
"Medium Enterprises","More than five crore rupees but does not exceed ten crore rupees"
"Service Sector",""
"Enterprises","Investment in equipment"
"Micro Enterprises","Does not exceed ten lakh rupees"
"Small Enterprises","More than ten lakh rupees but does not exceed two crore rupees"
"Medium Enterprises","More than two crore rupees but does not exceed five crore rupees"
