"BRSR Indicator","Type of Assurance"
"P6 E1-  Details of total energy consumption (in Joules or multiples)","Reasonable"
"P6 E1-  Details of total energy intensity","Reasonable"
"P6 E3-  Details of water withdrawal by source","Reasonable"
"P6 E3-  Details of water consumption","Reasonable"
"P6 E3-  Details of total water consumption intensity","Reasonable"
"P6 E4-  Details of water discharged","Reasonable"
"P6 E7-  Details of greenhouse gas emissions (Scope 1)","Reasonable"
"P6 E7-  Details of greenhouse gas emissions (Scope 2)","Reasonable"
"P6 E7 - Details of greenhouse gas emissions (Scope 1 and Scope 2) intensity","Reasonable"
"P6 E9-  Details related to waste generated by category of waste","Reasonable"
"P6 E9-  Details of total waste generation intensity","Reasonable"
"P6 E9 - Details related to waste recovered through recycling, re-using or other recovery 
operations","Reasonable"
"P6 E9-  Details related to waste disposed by nature of disposal method","Reasonable"
"P3  E11-Details  of  safety  related  incidents  including  lost  time  injury  frequency  rate, 
recordable work-related injuries, no. of fatalities","Reasonable"
"P9 E7- Instances involving loss/breach of data of customers as a percentage of total data 
breaches or cyber security events","Reasonable"
"filed  under 
the  Sexual  Harassment  of  Women  at  Workplace 
P5  E7-  Complaints 
(Prevention,  Prohibition  and  Redressal)  Act,  2013, 
including  complaints 
reported, 
complaints as a % of female employees, and complaints upheld","Reasonable"
"P1 E9 - Concentration of purchases & sales done with trading houses, dealers, and related 
parties Loans and advances & investments with related parties","Reasonable"
"P1 E8 - Number of days of accounts payable","Reasonable"
"P8 E4 - Input material sourced from following sources as % of total purchases – 
Directly sourced from MSMEs/ small producers and from within India","Reasonable"
"P8 E5 - Job creation in smaller towns","Reasonable"
"P3  E1c-  Spending  on  measures  towards  well-being  of  employees  and  workers  –  cost 
incurred as a % of total revenue of the company","Reasonable"
"P5 E3b- Gross wages paid to females as % of wages paid","Reasonable"
